date,value
2019/1/2,180863.0
2019/1/3,216796.0
2019/1/4,198406.0
2019/1/5,182437.0
2019/1/6,221262.0
2019/1/7,190944.0
2019/1/8,302717.0
2019/1/9,235528.0
2019/1/10,261710.0
2019/1/11,404333.0
2019/1/12,383021.0
2019/1/13,205117.0
2019/1/14,441506.0
2019/1/15,258772.0
2019/1/16,240895.0
2019/1/17,213703.0
2019/1/18,247540.0
2019/1/19,243461.0
2019/1/20,187920.0
2019/1/21,201989.0
2019/1/22,175218.0
2019/1/23,150665.0
2019/1/24,155583.0
2019/1/25,158354.0
2019/1/26,134666.0
2019/1/27,113155.0
2019/1/28,130588.0
2019/1/29,103619.0
2019/1/30,97725.0
2019/1/31,88823.0
2019/2/1,70999.0
2019/2/2,86458.0
2019/2/3,83154.0
2019/2/4,81686.0
2019/2/5,107918.0
2019/2/6,78500.0
2019/2/7,136866.0
2019/2/8,119378.0
2019/2/9,127910.0
2019/2/10,212272.0
2019/2/11,215899.0
2019/2/12,169137.0
2019/2/13,237531.0
2019/2/14,192975.0
2019/2/15,207513.0
2019/2/16,182541.0
2019/2/17,173606.0
2019/2/18,195379.0
2019/2/19,213385.0
2019/2/20,188409.0
2019/2/21,168917.0
2019/2/22,234201.0
2019/2/23,191477.0
2019/2/24,257957.0
2019/2/25,257106.0
2019/2/26,293567.0
2019/2/27,364355.0
2019/2/28,231510.0
2019/3/1,220108.0
2019/3/2,223452.0
2019/3/3,231340.0
2019/3/4,267073.0
2019/3/5,239777.0
2019/3/6,214995.0
2019/3/7,230748.0
2019/3/8,630103.0
2019/3/9,518609.0
2019/3/10,423227.0
2019/3/11,332221.0
2019/3/12,379961.0
2019/3/13,348936.0
2019/3/14,283520.0
2019/3/15,279154.0
2019/3/16,258595.0
2019/3/17,257655.0
2019/3/18,259729.0
2019/3/19,476160.0
2019/3/20,325508.0
2019/3/21,268929.0
2019/3/22,215644.0
2019/3/23,159906.0
2019/3/24,176550.0
2019/3/25,199897.0
2019/3/26,196039.0
2019/3/27,179791.0
2019/3/28,278555.0
2019/3/29,242716.0
2019/3/30,197649.0
2019/3/31,200342.0
2019/4/1,218680.0
2019/4/2,192813.0
2019/4/3,185840.0
2019/4/4,172443.0
2019/4/5,158935.0
2019/4/6,209405.0
2019/4/7,235205.0
2019/4/8,244119.0
2019/4/9,231663.0
2019/4/10,168490.0
2019/4/11,212827.0
2019/4/12,178860.0
2019/4/13,147937.0
2019/4/14,158152.0
2019/4/15,153309.0
2019/4/16,173913.0
2019/4/17,134878.0
2019/4/18,159179.0
2019/4/19,147290.0
2019/4/20,127266.0
2019/4/21,98967.0
2019/4/22,103039.0
2019/4/23,90469.0
2019/4/24,89323.0
2019/4/25,98544.0
2019/4/26,72378.0
2019/4/27,142855.0
2019/4/28,98475.0
2019/4/29,80385.0
2019/4/30,81553.0
2019/5/1,97920.0
2019/5/2,84742.0
2019/5/3,79220.0
2019/5/4,72238.0
2019/5/5,87780.0
2019/5/6,115986.0
2019/5/7,108462.0
2019/5/8,120398.0
2019/5/9,100596.0
2019/5/10,70584.0
2019/5/11,101220.0
2019/5/12,87022.0
2019/5/13,65301.0
2019/5/14,88810.0
2019/5/15,85003.0
