date,value
2019/1/2,429140.0
2019/1/3,430492.0
2019/1/4,401060.0
2019/1/5,361661.0
2019/1/6,402210.0
2019/1/7,342903.0
2019/1/8,574058.0
2019/1/9,455951.0
2019/1/10,557527.0
2019/1/11,725802.0
2019/1/12,780531.0
2019/1/13,344888.0
2019/1/14,744303.0
2019/1/15,463424.0
2019/1/16,455079.0
2019/1/17,411064.0
2019/1/18,459072.0
2019/1/19,463107.0
2019/1/20,326919.0
2019/1/21,317078.0
2019/1/22,306956.0
2019/1/23,267766.0
2019/1/24,255957.0
2019/1/25,238791.0
2019/1/26,200240.0
2019/1/27,176024.0
2019/1/28,180411.0
2019/1/29,150414.0
2019/1/30,134741.0
2019/1/31,119127.0
2019/2/1,108463.0
2019/2/2,115966.0
2019/2/3,110211.0
2019/2/4,111650.0
2019/2/5,170547.0
2019/2/6,94215.0
2019/2/7,183316.0
2019/2/8,167694.0
2019/2/9,218927.0
2019/2/10,278424.0
2019/2/11,318171.0
2019/2/12,176055.0
2019/2/13,275462.0
2019/2/14,197817.0
2019/2/15,200056.0
2019/2/16,169333.0
2019/2/17,176389.0
2019/2/18,179459.0
2019/2/19,162557.0
2019/2/20,146346.0
2019/2/21,134068.0
2019/2/22,171458.0
2019/2/23,141771.0
2019/2/24,205736.0
2019/2/25,153931.0
2019/2/26,175214.0
2019/2/27,178191.0
2019/2/28,152418.0
2019/3/1,135903.0
2019/3/2,136840.0
2019/3/3,142664.0
2019/3/4,146013.0
2019/3/5,133576.0
2019/3/6,150948.0
2019/3/7,167236.0
2019/3/8,235818.0
2019/3/9,251835.0
2019/3/10,230609.0
2019/3/11,196834.0
2019/3/12,209400.0
2019/3/13,198240.0
2019/3/14,142634.0
2019/3/15,182952.0
2019/3/16,139694.0
2019/3/17,127944.0
2019/3/18,111187.0
2019/3/19,187815.0
2019/3/20,135106.0
2019/3/21,110256.0
2019/3/22,93782.0
2019/3/23,77914.0
2019/3/24,77712.0
2019/3/25,80377.0
2019/3/26,83054.0
2019/3/27,73484.0
2019/3/28,89741.0
2019/3/29,92196.0
2019/3/30,81027.0
2019/3/31,80096.0
2019/4/1,84968.0
2019/4/2,92059.0
2019/4/3,81890.0
2019/4/4,73290.0
2019/4/5,70438.0
2019/4/6,93182.0
2019/4/7,86914.0
2019/4/8,99774.0
2019/4/9,87911.0
2019/4/10,71788.0
2019/4/11,86785.0
2019/4/12,76662.0
2019/4/13,61867.0
2019/4/14,74931.0
2019/4/15,58363.0
2019/4/16,61942.0
2019/4/17,49860.0
2019/4/18,62585.0
2019/4/19,48922.0
2019/4/20,45518.0
2019/4/21,37008.0
2019/4/22,34255.0
2019/4/23,31091.0
2019/4/24,32450.0
2019/4/25,31632.0
2019/4/26,28307.0
2019/4/27,33530.0
2019/4/28,33141.0
