date,value
2019/1/2,278879.0
2019/1/3,329300.0
2019/1/4,318011.0
2019/1/5,287725.0
2019/1/6,344078.0
2019/1/7,288712.0
2019/1/8,479702.0
2019/1/9,367014.0
2019/1/10,412178.0
2019/1/11,622674.0
2019/1/12,615206.0
2019/1/13,300510.0
2019/1/14,649127.0
2019/1/15,381555.0
2019/1/16,357639.0
2019/1/17,310489.0
2019/1/18,363261.0
2019/1/19,356112.0
2019/1/20,250178.0
2019/1/21,256472.0
2019/1/22,233101.0
2019/1/23,217393.0
2019/1/24,209609.0
2019/1/25,211326.0
2019/1/26,172578.0
2019/1/27,144510.0
2019/1/28,178078.0
2019/1/29,134368.0
2019/1/30,130190.0
2019/1/31,123020.0
2019/2/1,100818.0
2019/2/2,111027.0
2019/2/3,105045.0
2019/2/4,105779.0
2019/2/5,153204.0
2019/2/6,98905.0
2019/2/7,180874.0
2019/2/8,157255.0
2019/2/9,169132.0
2019/2/10,275683.0
2019/2/11,294240.0
2019/2/12,179163.0
2019/2/13,287203.0
2019/2/14,218664.0
2019/2/15,222573.0
2019/2/16,194005.0
2019/2/17,202550.0
2019/2/18,219892.0
2019/2/19,207289.0
2019/2/20,184674.0
2019/2/21,157650.0
2019/2/22,261809.0
2019/2/23,215083.0
2019/2/24,277616.0
2019/2/25,205641.0
2019/2/26,278552.0
2019/2/27,312915.0
2019/2/28,319817.0
2019/3/1,276832.0
2019/3/2,280638.0
2019/3/3,230275.0
2019/3/4,224918.0
2019/3/5,236353.0
2019/3/6,274817.0
2019/3/7,286904.0
2019/3/8,545589.0
2019/3/9,474694.0
2019/3/10,394427.0
2019/3/11,312914.0
2019/3/12,382330.0
2019/3/13,343833.0
2019/3/14,271849.0
2019/3/15,341889.0
2019/3/16,274045.0
2019/3/17,231642.0
2019/3/18,239293.0
2019/3/19,684977.0
2019/3/20,365513.0
2019/3/21,390358.0
2019/3/22,262024.0
2019/3/23,194414.0
2019/3/24,190692.0
2019/3/25,198862.0
2019/3/26,221549.0
2019/3/27,197736.0
2019/3/28,293758.0
2019/3/29,286997.0
2019/3/30,242068.0
2019/3/31,227122.0
2019/4/1,244893.0
2019/4/2,226383.0
2019/4/3,235203.0
2019/4/4,208358.0
2019/4/5,218047.0
2019/4/6,232578.0
2019/4/7,269980.0
2019/4/8,294691.0
2019/4/9,284526.0
2019/4/10,254776.0
2019/4/11,278790.0
2019/4/12,245051.0
2019/4/13,222714.0
2019/4/14,243748.0
2019/4/15,199670.0
2019/4/16,303200.0
2019/4/17,240279.0
2019/4/18,334417.0
2019/4/19,260945.0
2019/4/20,239790.0
2019/4/21,201275.0
2019/4/22,177441.0
2019/4/23,199541.0
2019/4/24,180409.0
2019/4/25,201044.0
2019/4/26,185819.0
2019/4/27,229102.0
2019/4/28,232546.0
2019/4/29,185687.0
2019/4/30,167152.0
2019/5/1,161029.0
2019/5/2,149570.0
2019/5/3,155116.0
2019/5/4,154078.0
2019/5/5,166948.0
2019/5/6,200324.0
2019/5/7,214857.0
2019/5/8,208871.0
2019/5/9,194123.0
2019/5/10,180316.0
2019/5/11,198409.0
2019/5/12,176381.0
2019/5/13,148146.0
2019/5/14,307634.0
2019/5/15,238274.0
2019/5/16,284703.0
2019/5/17,197070.0
2019/5/18,191602.0
2019/5/19,178391.0
2019/5/20,186277.0
2019/5/21,192350.0
2019/5/22,152987.0
2019/5/23,174454.0
2019/5/24,146775.0
2019/5/25,148250.0
2019/5/26,132163.0
2019/5/27,180188.0
2019/5/28,173922.0
2019/5/29,149774.0
2019/5/30,121861.0
2019/5/31,122263.0
2019/6/1,116332.0
2019/6/2,333669.0
2019/6/3,217803.0
2019/6/4,167547.0
2019/6/5,149299.0
2019/6/6,155510.0
2019/6/7,155790.0
2019/6/8,152008.0
2019/6/9,129992.0
2019/6/10,144609.0
2019/6/11,138304.0
2019/6/12,132002.0
2019/6/13,158287.0
2019/6/14,126486.0
2019/6/15,126420.0
2019/6/16,100053.0
2019/6/17,433514.0
2019/6/18,235482.0
2019/6/19,341656.0
2019/6/20,194301.0
2019/6/21,125931.0
2019/6/22,128728.0
2019/6/23,106740.0
2019/6/24,116038.0
2019/6/25,105076.0
2019/6/26,117749.0
2019/6/27,137596.0
2019/6/28,128642.0
2019/6/29,89212.0
2019/6/30,138220.0
2019/7/1,112823.0
2019/7/2,181277.0
2019/7/3,148808.0
2019/7/4,114120.0
2019/7/5,128583.0
2019/7/6,138254.0
2019/7/7,136372.0
2019/7/8,135106.0
2019/7/9,126737.0
2019/7/10,132632.0
2019/7/11,120591.0
2019/7/12,161657.0
2019/7/13,169242.0
2019/7/14,124901.0
2019/7/15,123440.0
2019/7/16,171771.0
2019/7/17,229251.0
2019/7/18,187470.0
2019/7/19,176482.0
2019/7/20,158933.0
2019/7/21,121031.0
2019/7/22,131291.0
2019/7/23,125997.0
2019/7/24,134163.0
2019/7/25,107196.0
2019/7/26,121432.0
2019/7/27,269608.0
2019/7/28,133773.0
2019/7/29,134175.0
2019/7/30,131838.0
2019/7/31,163533.0
2019/8/1,211310.0
2019/8/2,127511.0
2019/8/3,131856.0
2019/8/4,132026.0
2019/8/5,125637.0
2019/8/6,136760.0
2019/8/7,125256.0
2019/8/8,148427.0
2019/8/9,256471.0
2019/8/10,183804.0
2019/8/11,168074.0
2019/8/12,160651.0
2019/8/13,241700.0
2019/8/14,166035.0
2019/8/15,168567.0
2019/8/16,175771.0
2019/8/17,171209.0
2019/8/18,141647.0
2019/8/19,189137.0
2019/8/20,198328.0
2019/8/21,190884.0
2019/8/22,261288.0
2019/8/23,206003.0
2019/8/24,199361.0
2019/8/25,158353.0
2019/8/26,150189.0
2019/8/27,1041554.0
2019/8/28,464691.0
2019/8/29,396749.0
2019/8/30,270125.0
2019/8/31,246515.0
2019/9/1,252255.0
2019/9/2,272618.0
2019/9/3,314628.0
2019/9/4,297563.0
2019/9/5,311617.0
2019/9/6,269739.0
2019/9/7,263452.0
2019/9/8,206910.0
2019/9/9,288882.0
2019/9/10,1129847.0
2019/9/11,567462.0
2019/9/12,382699.0
2019/9/13,274873.0
2019/9/14,302242.0
2019/9/15,307625.0
2019/9/16,353887.0
2019/9/17,434798.0
2019/9/18,411512.0
2019/9/19,425842.0
2019/9/20,467119.0
2019/9/21,473169.0
2019/9/22,470665.0
2019/9/23,403873.0
2019/9/24,488130.0
2019/9/25,1123406.0
2019/9/26,615593.0
2019/9/27,797745.0
2019/9/28,471405.0
2019/9/29,350394.0
2019/9/30,420169.0
2019/10/1,336853.0
2019/10/2,383757.0
2019/10/3,310927.0
2019/10/4,334486.0
2019/10/5,408110.0
2019/10/6,442676.0
2019/10/7,500654.0
2019/10/8,575294.0
2019/10/9,625702.0
2019/10/10,671119.0
2019/10/11,548788.0
2019/10/12,587561.0
2019/10/13,627043.0
2019/10/14,554741.0
2019/10/15,1117840.0
2019/10/16,819011.0
2019/10/17,845588.0
2019/10/18,608687.0
2019/10/19,567075.0
2019/10/20,504018.0
2019/10/21,542889.0
2019/10/22,615219.0
2019/10/23,507581.0
2019/10/24,483931.0
2019/10/25,606931.0
2019/10/26,530468.0
2019/10/27,592308.0
2019/10/28,595842.0
2019/10/29,582417.0
2019/10/30,579258.0
2019/10/31,528719.0
2019/11/1,576084.0
2019/11/2,417206.0
2019/11/3,364278.0
2019/11/4,426372.0
2019/11/5,430985.0
2019/11/6,392314.0
2019/11/7,417771.0
2019/11/8,518652.0
2019/11/9,521167.0
2019/11/10,448981.0
2019/11/11,450921.0
2019/11/12,9263725.0
2019/11/13,1603154.0
2019/11/14,556565.0
2019/11/15,494324.0
2019/11/16,532845.0
2019/11/17,457064.0
2019/11/18,390219.0
2019/11/19,471340.0
2019/11/20,518974.0
2019/11/21,422951.0
2019/11/22,456165.0
2019/11/23,376527.0
2019/11/24,432377.0
2019/11/25,413916.0
2019/11/26,496801.0
2019/11/27,464037.0
2019/11/28,454057.0
2019/11/29,470979.0
2019/11/30,440082.0
2019/12/1,489530.0
2019/12/2,573343.0
2019/12/3,466563.0
2019/12/4,528287.0
2019/12/5,430578.0
2019/12/6,438240.0
2019/12/7,449516.0
2019/12/8,407975.0
2019/12/9,520728.0
2019/12/10,427798.0
2019/12/11,484011.0
2019/12/12,1057072.0
2019/12/13,3800353.0
2019/12/14,1133662.0
2019/12/15,426838.0
2019/12/16,446122.0
2019/12/17,361010.0
2019/12/18,322588.0
2019/12/19,338558.0
2019/12/20,416934.0
2019/12/21,335549.0
2019/12/22,334551.0
2019/12/23,308723.0
2019/12/24,385536.0
2019/12/25,317553.0
2019/12/26,340168.0
2019/12/27,447516.0
2019/12/28,377775.0
2019/12/29,389127.0
2019/12/30,357876.0
2019/12/31,453231.0
2020/1/1,349726.0
2020/1/2,361169.0
2020/1/3,379002.0
2020/1/4,350577.0
2020/1/5,386249.0
2020/1/6,336435.0
2020/1/7,1200057.0
2020/1/8,591253.0
2020/1/9,516463.0
2020/1/10,503861.0
2020/1/11,543164.0
2020/1/12,475914.0
2020/1/13,447754.0
2020/1/14,460100.0
2020/1/15,434913.0
2020/1/16,275879.0
2020/1/17,400350.0
2020/1/18,260204.0
2020/1/19,151308.0
2020/1/20,118333.0
2020/1/21,102339.0
2020/1/22,109335.0
2020/1/23,98739.0
2020/1/24,92072.0
2020/1/25,83891.0
2020/1/26,80879.0
2020/1/27,76194.0
2020/1/28,86765.0
2020/1/29,79829.0
2020/1/30,104087.0
2020/1/31,98973.0
2020/2/1,130693.0
2020/2/2,110884.0
2020/2/3,98508.0
2020/2/4,108435.0
2020/2/5,106316.0
2020/2/6,123995.0
2020/2/7,96027.0
2020/2/8,90157.0
2020/2/9,69178.0
2020/2/10,69846.0
2020/2/11,90644.0
2020/2/12,84388.0
2020/2/13,81073.0
2020/2/14,82338.0
2020/2/15,88021.0
2020/2/16,76290.0
2020/2/17,65855.0
2020/2/18,113897.0
2020/2/19,189607.0
2020/2/20,143045.0
2020/2/21,144192.0
2020/2/22,144403.0
2020/2/23,128834.0
2020/2/24,132617.0
2020/2/25,144416.0
2020/2/26,162435.0
2020/2/27,201079.0
2020/2/28,162111.0
2020/2/29,173098.0
2020/3/1,163625.0
2020/3/2,145484.0
2020/3/3,130093.0
2020/3/4,134469.0
2020/3/5,106811.0
2020/3/6,654981.0
2020/3/7,311530.0
2020/3/8,299782.0
2020/3/9,165386.0
2020/3/10,623250.0
2020/3/11,177805.0
2020/3/12,196028.0
2020/3/13,193369.0
2020/3/14,206749.0
2020/3/15,200309.0
2020/3/16,231975.0
2020/3/17,234362.0
2020/3/18,248990.0
2020/3/19,252430.0
2020/3/20,249897.0
2020/3/21,247204.0
2020/3/22,260632.0
2020/3/23,211455.0
2020/3/24,151501.0
2020/3/25,735297.0
2020/3/26,489388.0
2020/3/27,409888.0
2020/3/28,284770.0
2020/3/29,196947.0
2020/3/30,200781.0
2020/3/31,211133.0
2020/4/1,230545.0
2020/4/2,221503.0
2020/4/3,214376.0
2020/4/4,220599.0
2020/4/5,208681.0
2020/4/6,215549.0
2020/4/7,262248.0
2020/4/8,248548.0
2020/4/9,252518.0
2020/4/10,264533.0
2020/4/11,256784.0
2020/4/12,231769.0
2020/4/13,242873.0
2020/4/14,225241.0
2020/4/15,223197.0
2020/4/16,402246.0
2020/4/17,321140.0
2020/4/18,373289.0
2020/4/19,274743.0
2020/4/20,262673.0
2020/4/21,251609.0
2020/4/22,247792.0
2020/4/23,243712.0
2020/4/24,243301.0
2020/4/25,225300.0
2020/4/26,231859.0
2020/4/27,268122.0
2020/4/28,264247.0
2020/4/29,293469.0
2020/4/30,412948.0
2020/5/1,271217.0
2020/5/2,210221.0
2020/5/3,194212.0
2020/5/4,190141.0
2020/5/5,188486.0
2020/5/6,435757.0
2020/5/7,265058.0
2020/5/8,235392.0
2020/5/9,215743.0
2020/5/10,199036.0
2020/5/11,235715.0
2020/5/12,316941.0
2020/5/13,424449.0
2020/5/14,293519.0
2020/5/15,215450.0
2020/5/16,189798.0
2020/5/17,132349.0
2020/5/18,238186.0
2020/5/19,255828.0
2020/5/20,252909.0
2020/5/21,213514.0
2020/5/22,188137.0
2020/5/23,191053.0
2020/5/24,168573.0
2020/5/25,195841.0
2020/5/26,179935.0
2020/5/27,173713.0
2020/5/28,184605.0
2020/5/29,240022.0
2020/5/30,161307.0
2020/5/31,133501.0
2020/6/1,121266.0
2020/6/2,539881.0
2020/6/3,263762.0
2020/6/4,265392.0
2020/6/5,207173.0
2020/6/6,110326.0
2020/6/7,193372.0
2020/6/8,186183.0
2020/6/9,154968.0
2020/6/10,144245.0
2020/6/11,149355.0
2020/6/12,158792.0
2020/6/13,139563.0
2020/6/14,117898.0
2020/6/15,108344.0
2020/6/16,108795.0
2020/6/17,586581.0
2020/6/18,322246.0
2020/6/19,431702.0
2020/6/20,291500.0
2020/6/21,264201.0
2020/6/22,190262.0
2020/6/23,146312.0
2020/6/24,132307.0
2020/6/25,143373.0
2020/6/26,125540.0
2020/6/27,141859.0
2020/6/28,132833.0
